k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30,k = 31,k = 32,k = 33,k = 34,k = 35,k = 36,k = 37,k = 38,k = 39,k = 40
74494.0,66243.68359375,62220.8203125,59072.14013671875,50329.3916015625,49349.4375,47615.56103515625,45235.605529785156,42316.457275390625,37431.266357421875,36082.53643798828,34128.692626953125,33840.629455566406,33163.74499511719,32495.202880859375,30161.901725769043,30901.676513671875,29031.000480651855,28766.77495574951,27265.18431854248,27781.98345184326,27644.89653778076,26057.388145446777,26167.761688232422,23664.935752868652,24567.610649108887,24819.436851501465,24505.498741149902,22423.78881072998,23883.54418182373,23458.476280212402,23157.502586364746,22990.284843444824,22881.353874206543,22544.439781188965,22116.197959899902,20518.155876159668,20074.24652862549,20447.311485290527,21730.187538146973
74494.0,66243.68359375,62220.802734375,56862.7392578125,53644.3330078125,50876.885009765625,47577.699951171875,45204.43115234375,43815.802734375,37432.90576171875,36121.377685546875,34830.943786621094,33840.64782714844,31797.194328308105,30694.813102722168,31534.16064453125,30184.744140625,29391.192405700684,30040.478942871094,28029.983543395996,27919.864128112793,27080.38680267334,27222.378715515137,25869.54027557373,25375.27431488037,26131.774780273438,24463.660606384277,24348.9799118042,23884.115898132324,23957.74599456787,23675.98625946045,23087.614891052246,21251.494346618652,22779.07036590576,22613.257835388184,20666.872581481934,22576.39559173584,20492.348136901855,21532.674690246582,21356.137550354004
74494.0,66243.68359375,62221.08984375,58886.84765625,56202.337890625,51438.08154296875,47754.218017578125,45602.364013671875,40334.264892578125,39035.0361328125,36073.237854003906,40240.083068847656,33865.297790527344,31372.95708465576,32499.93731689453,31956.075439453125,30890.7392578125,30436.452880859375,28387.88988494873,29526.818634033203,27852.703605651855,26462.503929138184,25989.63304901123,26239.09789276123,27435.56802368164,25149.032402038574,24683.737785339355,25152.464965820312,24227.435050964355,24738.869842529297,21627.387016296387,23252.74324798584,22989.20107269287,21394.751762390137,22456.449699401855,22458.547538757324,22335.21590423584,20286.166496276855,20269.532249450684,24287.84115600586
74494.0,66243.68359375,62221.123046875,59071.0283203125,54384.7265625,51699.26318359375,48538.228759765625,45602.821533203125,43813.849365234375,39616.698333740234,36139.041076660156,34833.42907714844,33841.303955078125,33163.303466796875,30749.73070526123,30100.36125946045,29310.214225769043,28223.492546081543,28409.49565887451,29341.21307373047,29210.863525390625,26554.060844421387,25997.75759124756,25633.11305999756,27398.546356201172,25293.01555633545,25391.871337890625,24081.602867126465,24345.77809906006,23665.90337371826,23418.072898864746,23123.571617126465,21224.798332214355,22504.866172790527,22602.01342010498,22334.623497009277,22215.333290100098,20898.609062194824,20192.463050842285,19939.436149597168
74494.0,66243.68359375,62224.009765625,59076.54895019531,53783.1708984375,49976.6416015625,48086.160888671875,42396.8076171875,40334.264892578125,37432.483642578125,36075.278869628906,39222.08935546875,32398.017692565918,33192.408447265625,32084.905883789062,31425.07861328125,30893.677856445312,30617.387939453125,28495.137870788574,29561.722412109375,26894.811698913574,25739.6527633667,24612.694511413574,25797.417839050293,25519.11794281006,24750.506980895996,24729.93758392334,24469.24370574951,23858.725547790527,23976.48073577881,23828.11284637451,23286.879508972168,21348.090049743652,22749.818656921387,20834.577354431152,20697.21019744873,20507.59011077881,20261.985008239746,21480.1685256958,21652.400016784668
74494.0,66243.68359375,61004.9970703125,56862.7392578125,56008.2265625,49345.2998046875,48612.44189453125,45966.00549316406,39216.692626953125,42456.40948486328,36082.431701660156,34833.616760253906,33848.07421875,30991.31175994873,32413.79022216797,30159.687339782715,29249.981254577637,29144.742301940918,27742.507438659668,28214.762382507324,27721.531211853027,27321.640129089355,25598.997367858887,25964.897666931152,25012.181297302246,25286.173210144043,24857.74391937256,22669.061698913574,22120.047203063965,21889.18337249756,21486.99062347412,21769.755882263184,21249.71816253662,22825.227867126465,22258.31354522705,20630.08779144287,20496.857749938965,21974.752403259277,20072.636894226074,21694.409812927246
74494.0,66243.68359375,62224.009765625,59124.98828125,52625.33447265625,51831.3798828125,44339.776611328125,45665.933349609375,43883.205810546875,38917.65576171875,36135.96514892578,34831.357971191406,33862.23907470703,33155.96520996094,30726.5433883667,31432.163452148438,31481.591552734375,30489.019775390625,29109.207092285156,29459.786895751953,27884.721672058105,27544.61382293701,26202.034782409668,24198.589714050293,25341.58211517334,23052.36971282959,24391.81569671631,24146.92144012451,23824.48543548584,23598.592613220215,21723.557914733887,23198.710105895996,21588.093467712402,22720.534385681152,20808.860008239746,22334.38600921631,21833.572006225586,21957.52642059326,20144.65972137451,20049.82134246826
74494.0,66243.68359375,62220.814453125,56725.7861328125,53911.54296875,51653.61279296875,47953.861083984375,45600.880615234375,40313.590576171875,37432.56884765625,36073.63262939453,34890.79797363281,33840.349670410156,33152.22137451172,32492.496337890625,32022.105224609375,29532.522575378418,29166.51732635498,29982.6552734375,28248.052238464355,29107.68032836914,27122.104919433594,26254.67975616455,25825.198234558105,25177.358573913574,24965.50710296631,25117.225578308105,24401.873222351074,23784.89931488037,22627.928520202637,21755.110038757324,23167.15258026123,22929.87734222412,21106.966514587402,20910.89153289795,22333.594108581543,23124.224853515625,21958.206687927246,20315.97615814209,20170.329223632812
74494.0,66243.68359375,62224.009765625,59075.47998046875,52461.4697265625,51806.497314453125,47799.627197265625,45782.023193359375,43813.936767578125,39140.952880859375,36071.87579345703,35061.59503173828,33869.41076660156,33160.046875,32502.951782226562,30143.61821746826,30888.642700195312,30397.463256835938,28581.78456878662,28202.554557800293,26809.11257171631,27295.935668945312,26713.089324951172,25530.970817565918,26328.170433044434,24962.937705993652,24508.99080657959,24421.03978729248,24130.103691101074,23700.805015563965,23686.318809509277,21558.97420501709,21677.315299987793,22791.431968688965,22622.471641540527,22454.535362243652,20516.998710632324,20332.61629486084,20138.151664733887,21502.108543395996
74494.0,66243.68359375,62224.125,56725.7861328125,56143.72705078125,51653.66259765625,47892.277587890625,45912.49938964844,40327.990478515625,37431.230712890625,36136.088439941406,35044.51513671875,33841.826232910156,33143.17315673828,32486.506896972656,31953.225341796875,29499.992973327637,29006.405387878418,28436.881950378418,28221.4769821167,27629.198081970215,27205.402641296387,25878.549003601074,25445.322898864746,25522.96166229248,25192.46262359619,24370.495628356934,22726.195304870605,23945.32607269287,24474.464141845703,21685.826957702637,21929.007957458496,22933.94994354248,22793.369102478027,22557.105979919434,20707.7709274292,20888.40908050537,22410.752667427063,20088.25072479248,21392.19751739502
74494.0,66243.68359375,62224.125,56726.302734375,53645.0419921875,50874.474853515625,47076.236083984375,46753.819885253906,40313.590576171875,38922.302307128906,36058.643127441406,34892.23547363281,33875.50866699219,31646.139762878418,32510.937072753906,31952.359985351562,29399.78032684326,29113.72777557373,29735.676055908203,28176.206535339355,27615.916679382324,25651.900566101074,26124.07167816162,25658.71755218506,25033.101585388184,23734.266105651855,24600.03148651123,24181.388633728027,22261.35329437256,23618.431480407715,23253.22451019287,21494.189628601074,23036.927726745605,22758.41918182373,22510.623222351074,22412.565269470215,20956.016746520996,20332.492698669434,19762.85553741455,19822.455894470215
74494.0,66243.68359375,61586.83324432373,56992.5791015625,56011.0048828125,51706.65283203125,48798.49365234375,45389.3896484375,40332.098876953125,37432.56884765625,36073.86016845703,40311.79833984375,33865.011291503906,33157.483154296875,32548.399169921875,30023.760917663574,30139.22314453125,29190.69017791748,30002.88003540039,28084.718223571777,27844.51067352295,27299.94915008545,27177.124687194824,25852.827629089355,25583.569694519043,24658.35292816162,24925.74877166748,24206.190086364746,22428.045280456543,22433.040031433105,23668.97731781006,23232.542839050293,22637.17929840088,20925.664695739746,22570.0101852417,23121.325805664062,20949.686485290527,20454.12380218506,21901.3470993042,21857.46752166748
74494.0,66243.68359375,62224.12890625,56862.7392578125,52461.4365234375,49550.279541015625,48538.364501953125,44524.179443359375,42932.993644714355,38950.528564453125,41301.57012939453,34890.98571777344,33862.79608154297,33192.67999267578,32520.58856201172,30098.475212097168,29501.0267868042,29006.064323425293,29948.299926757812,29407.02734375,26912.50542449951,26631.606132507324,26166.507438659668,25747.641441345215,25848.67105102539,23308.75835418701,25748.91259765625,24107.73055267334,24050.80199432373,21878.37522125244,22193.726524353027,23205.587913513184,23004.389610290527,21267.7465133667,22524.711265563965,22449.047050476074,20576.393669128418,22057.6273727417,20129.106559753418,21688.69731903076
74494.0,66243.68359375,61004.8876953125,57917.05529785156,53783.76953125,53006.009521484375,47076.52880859375,45600.840576171875,42509.255615234375,42514.257385253906,36082.290588378906,34831.206481933594,33841.696350097656,31400.915519714355,30918.463005065918,31600.2646484375,31026.92822265625,29059.257987976074,28586.091911315918,27344.445640563965,27857.689628601074,26713.757438659668,28287.890991210938,25664.528007507324,25284.503288269043,24592.701316833496,24363.23757171631,22727.7220993042,22566.351249694824,23561.816551208496,23440.410270690918,21481.074729919434,21212.2406539917,22822.955863952637,21875.688179016113,22264.887046813965,21630.863655090332,22831.740966796875,20125.165351867676,21504.436210632324
74494.0,66243.68359375,62224.009765625,56842.6962890625,56152.04638671875,49976.17236328125,47892.277587890625,45907.62902832031,43813.932373046875,42550.15216064453,36058.043029785156,34831.836975097656,33851.20910644531,32727.86865234375,32070.123291015625,31964.203125,31282.88314819336,30503.440368652344,28543.896690368652,28051.25868988037,27046.97649383545,26402.335472106934,26218.563652038574,27755.915618896484,26216.948272705078,25272.04564666748,25069.513954162598,24370.23442840576,23843.048301696777,24030.4213180542,24078.042083740234,23233.59447479248,23049.129081726074,22465.462409973145,21051.77481842041,22212.30379486084,21929.94834136963,21920.81743621826,21701.602165222168,20078.82886505127
74494.0,66243.68359375,60736.087890625,56862.7392578125,53785.302734375,51851.466064453125,48914.136962890625,42152.192626953125,41182.02209472656,38920.57177734375,36082.37677001953,34833.271545410156,33863.0107421875,31383.085441589355,32510.20751953125,31649.269653320312,31500.795288085938,30393.545288085938,28624.859184265137,28759.821655273438,29073.89776611328,26594.208122253418,26715.920837402344,25971.488151550293,23423.984977722168,23063.097679138184,25429.935913085938,24244.692588806152,22584.857383728027,21917.206077575684,23829.331504821777,23225.99257659912,22661.08374786377,22754.29155731201,20836.311515808105,20739.16625213623,20723.82741546631,21772.24098968506,19988.49910736084,21580.653038024902
74494.0,66243.68359375,62224.009765625,56726.302734375,52462.72265625,49550.641845703125,47017.7412109375,46025.502685546875,43930.175048828125,37432.284912109375,36074.566467285156,34831.403869628906,33840.56231689453,33156.923095703125,32495.324340820312,30089.118949890137,31012.813049316406,28982.15389251709,28642.04174041748,28884.11248779297,27710.336547851562,26531.888969421387,26002.008811950684,25608.11724090576,25308.34304046631,23611.4535446167,24520.560264587402,24138.19228363037,24217.72878265381,23999.70012664795,21712.853202819824,23154.152305603027,22984.75188446045,21001.504081726074,20999.008171081543,20925.588218688965,20112.113777160645,20362.23854827881,21797.387229919434,19700.49552154541
74494.0,66243.68359375,62221.123046875,59072.64208984375,56164.4853515625,49976.6171875,47022.05029296875,45852.785400390625,43813.659423828125,37431.235595703125,36088.308166503906,34831.45245361328,33863.238830566406,33146.17419433594,30981.383094787598,31436.616088867188,29248.99321746826,29527.245544433594,28584.683433532715,27991.600700378418,28975.86767578125,27221.83391571045,26291.685417175293,25972.22942352295,25553.86614227295,25090.301475524902,24421.007347106934,24347.0756149292,22115.806297302246,21956.05214691162,24078.381370544434,23204.187126159668,22835.115745544434,21321.833518981934,22554.497688293457,22348.377464294434,20956.597129821777,20310.842430114746,21981.995719909668,21456.58539581299
74494.0,66243.68359375,62220.794921875,59124.9775390625,53786.033203125,51557.544921875,48831.712158203125,44120.672607421875,40330.193603515625,37432.284912109375,36073.945373535156,34831.805236816406,33863.14044189453,33157.90417480469,30691.283073425293,32061.185913085938,30950.38543701172,29019.31792449951,28664.369499206543,28088.913749694824,29038.181243896484,27542.4349899292,25727.418785095215,26902.802673339844,25528.029777526855,24988.601554870605,24716.60604095459,22740.776878356934,23853.929862976074,22504.7426071167,23734.080924987793,23264.387870788574,21920.475425720215,21031.458854675293,22562.250144958496,22326.77300262451,22299.019721984863,20817.538108825684,21853.366996765137,19888.88304901123
74494.0,66243.68359375,62220.796875,56726.2802734375,53644.3935546875,51701.83984375,47609.458557128906,45850.251220703125,43980.94366455078,42507.57165527344,36123.82312011719,34830.964294433594,33847.965576171875,33141.205993652344,32536.92498779297,31949.489624023438,30960.052734375,28839.435539245605,28403.574882507324,28228.66820526123,26855.99160003662,26628.25707244873,24582.930473327637,25638.820518493652,25417.49587249756,24667.724082946777,24375.254051208496,24285.5482711792,22335.09792327881,22019.66820526123,21861.05965423584,21642.75527191162,21281.55770111084,21005.2533493042,22288.918495178223,22504.80512237549,22080.49782562256,21799.451347351074,20305.45107269287,20061.213493347168
74494.0,66243.68359375,62220.83203125,58881.296875,53785.939453125,49976.720703125,48971.34765625,45782.02001953125,42508.71337890625,42550.866271972656,36072.264709472656,34874.70098876953,33841.703857421875,33141.751708984375,30737.18236541748,31951.255584716797,29516.198112487793,31019.347534179688,28556.82122039795,28090.58193206787,26771.996116638184,27264.918395996094,26812.290824890137,26631.476776123047,25381.124717712402,22867.26633453369,24687.92763519287,26803.208862304688,24214.154136657715,24073.59056854248,23398.003593444824,23091.237495422363,21187.186058044434,21070.83568572998,22592.601219177246,23246.388549804688,22009.436882019043,21986.118019104004,22504.109008789062,19974.947624206543
74494.0,66243.68359375,62220.9453125,59124.9775390625,56164.478515625,51535.9248046875,47614.223693847656,42152.232666015625,39216.890380859375,37431.251708984375,36074.04522705078,34831.45245361328,33841.798889160156,33156.923095703125,30698.943840026855,29971.45059967041,29611.55571746826,30994.10009765625,29768.869750976562,28760.625732421875,27662.65155029297,27285.556327819824,24555.265922546387,25373.628135681152,25006.186180114746,24729.40602874756,24671.939079284668,24182.398277282715,22561.777671813965,23668.39168548584,23455.140800476074,21520.51049041748,22952.85004425049,23693.510772705078,20694.91527557373,21017.692253112793,20479.179039001465,20006.07917022705,20079.876945495605,20017.95534515381
