Label,证券代码,营业总收入,现金资产比率,应收类资产比率,固定资产比率,无形资产比率,金融负债比率,少数股东权益占比,市盈率（PE）1,资产负债率,市值A,托宾Q值A,账面市值比A,资产报酬率A,净资产收益率（ROE）A
7,002571,-0.13195439,-1.0887697,-0.5163705,1.0224005,0.46178418,0.2788604,-0.13956746,-0.37084353,1.1396713,-0.067256175,-0.573147,0.7612285,-0.5582258,-0.07758549
7,002572,-0.031985346,-0.3112894,-0.5974163,0.54566145,1.2042493,0.40954867,-0.030782789,-0.27608138,0.29090098,-0.053755675,-0.26091996,-0.060821846,1.240618,0.23152845
7,002573,-0.05998869,-0.83757675,-0.028019024,-0.020693563,2.824842,1.3088379,0.53677386,-0.20142022,1.3071756,-0.05141691,-0.76281357,1.573674,-0.14136429,0.0034031365
4,002574,-0.097530596,-0.5618755,-0.6300869,-0.6999462,0.19647028,0.3179081,-0.14807144,-0.25420362,0.80656844,-0.064881206,-0.7502627,1.5081987,-0.44641486,-0.0138847
8,002575,-0.14943519,-0.9353401,-1.0515181,-1.3062272,-0.0778276,-1.0107596,-0.18706472,2.0574472,-1.3836029,-0.06781572,1.5792296,-1.5873846,-0.8417071,-0.049701028
0,002576,-0.13313241,0.051910054,1.3831679,-0.40950122,-0.39944312,-0.9626606,-0.21917598,-0.1955092,-0.11635266,-0.06812697,-0.2682186,-0.046131067,-0.01957679,0.047951326
2,002577,-0.14786857,0.04623809,-0.4820951,-1.289556,-0.70903623,-1.2181971,-0.18520844,0.52157176,-1.3779368,-0.0669728,1.3053563,-1.4842325,0.02145,0.03404503
8,002578,-0.12758239,-0.39559346,0.7234824,-0.014359325,-0.112531595,1.2947979,-0.18487735,0.3201866,-0.16971725,-0.06758,-0.27152526,-0.039418966,-0.24464235,0.014595502
7,002579,-0.1202528,-1.016155,-0.11887371,1.8304673,0.38899285,0.7760318,0.09920973,-0.37084353,0.7690604,-0.06381088,-0.39189687,0.23066387,-0.71597636,-0.091488004
0,002580,-0.117413044,-0.20426376,1.4446387,0.46537834,-0.2660635,-0.1520305,0.029090999,-0.22792077,-0.26109156,-0.06672182,-0.40965754,0.2752874,0.4980201,0.1028881
2,002581,-0.14808735,0.23348871,-0.80654424,-0.4691374,0.022851758,-0.46028256,0.008188183,-0.37084353,-1.7046051,-0.066247776,0.43603325,-0.9695979,-0.30814338,-4.270523e-05
7,002582,-0.13444173,-0.96463543,-1.1076082,-0.114029236,-0.32719377,1.5750015,-0.21592839,-0.37084353,-0.69402874,-0.06707914,-0.791368,1.730562,-0.9058115,-0.05347216
0,002583,-0.08705206,-0.8483728,0.72446066,-0.7315231,1.1328375,0.60448235,-0.09550749,-0.37084353,0.29300904,-0.057551242,-0.39159635,0.22992112,0.04954818,0.04958914
0,002584,-0.04941709,-1.0881207,1.8089242,-0.4737331,-0.15295115,0.30911425,-0.1762097,0.48347956,0.556495,-0.065271795,-0.42736605,0.3211658,0.014037597,0.032184046
7,002585,-0.084527895,-0.89320916,-0.48308197,1.233782,-0.26895413,-0.1209412,-0.18520844,-0.37084353,-0.40236917,-0.06127007,-0.8203941,1.9024066,-0.99086016,-0.06820115
4,002586,-0.13162144,-0.14038886,0.70784646,-1.0495692,-0.63238525,-0.6579403,-0.14566086,-0.37084353,0.79693484,-0.06527131,-0.78929037,1.7187562,-0.670166,-0.078502744
0,002587,-0.14571287,-0.014265653,0.93399197,-0.82803935,-0.48745954,-1.4561538,-0.1511107,2.1789894,-0.5511723,-0.0671444,0.3565759,-0.89931434,-1.0243022,-0.050446175
2,002588,-0.028457252,-0.76210505,-1.260749,0.40956292,0.38764608,-0.9187785,0.2902925,-0.28014335,0.011415805,-0.058960747,-0.6071196,0.88305485,0.6538099,0.13871767
4,002589,-0.057280403,-0.87176865,1.0855709,-0.5253302,-0.21723484,1.0067269,-0.05536099,0.54641324,1.11657,-0.05821374,-0.75917166,1.5544642,-0.32301128,-0.003308879
0,002590,-0.10512297,0.26133442,0.7490387,0.17153709,-0.078615956,-0.48633152,-0.06725763,-0.19223952,0.4185544,-0.06204664,-0.008277261,-0.484376,0.040972203,0.07443438
2,002591,-0.14839497,-0.75162077,0.6290319,0.3498459,-0.27606574,-0.030464685,-0.15335014,-0.37084353,-0.83835334,-0.069306575,-0.099403046,-0.34845698,-0.07129123,0.016505657
2,002592,-0.14626211,-1.1014284,-0.80578905,-0.15908319,-0.09306911,-1.5256335,-0.18520844,-0.28140408,-0.9450411,-0.0693112,-0.41232058,0.28209722,0.49681345,0.086519405
7,002593,-0.11814261,-0.30047643,0.01990989,0.5205132,0.14110483,0.6800834,-0.16312636,-0.07854597,0.27785212,-0.06677588,-0.67243046,1.1433647,-0.2531106,0.0032915531
4,002594,7.7905097,-0.4606314,-0.3789342,1.0108439,0.09028886,-0.85115963,0.10878136,-0.17387415,1.6993368,0.7834345,-0.36542094,0.16659987,0.35759386,0.27344403
2,002595,-0.05239467,-0.011695149,0.95409894,0.033140723,-0.059054922,-0.7804445,-0.18240353,-0.21090662,-1.1979039,-0.03931015,1.4019332,-1.5227851,2.5717478,0.25894767
0,002596,-0.13667583,-1.0792967,2.6967292,-0.93593705,0.24524967,0.36717504,-0.29466644,-0.37084353,1.6016612,-0.066310905,-0.31647757,0.055340078,-0.57537776,-0.2039242
7,002597,-0.08912856,0.57253385,-0.72452015,1.1961675,-0.29561037,0.8791428,-0.18424124,-0.22728883,-0.6468779,-0.056626167,-0.10443905,-0.34045094,0.38599372,0.08303763
0,002598,-0.12904648,-0.3176356,2.1167078,-0.77305955,-0.3389534,-0.35315275,-0.020236522,-0.21187602,0.45254588,-0.06737158,-0.33986744,0.107402824,0.43152398,0.12907234
2,002599,-0.12927234,-0.88071907,0.45593858,0.90362674,0.11602533,-0.97510505,-0.17782418,3.0530553,-0.10095637,-0.06764263,-0.2531653,-0.07625537,-0.4665404,-0.019282304
0,002600,0.34489304,-0.528282,1.01932,0.4270899,-0.30224568,0.4557075,-0.17377308,-0.32119346,0.56257063,-0.010400096,-0.013114361,-0.47756228,0.47259384,0.115739085
