日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-04-21,831175,16.91,16.91,16.91,16.91,15000,24990000.0,0.0,46.79,5.39,5.5
2015-04-22,831175,16.91,16.91,16.91,16.91,3000,4998000.0,0.0,0.0,0.0,1.1
2015-05-12,831175,1.29,1.29,1.29,1.29,10,1000.0,0.0,-92.37,-15.62,0.0
2015-05-13,831175,1.18,3.04,16.95,0.56,67150,18454620.0,1270.54,135.66,1.75,24.63
2015-05-14,831175,16.95,1.29,16.95,1.29,13740,10770000.0,515.13,-57.57,-1.75,5.04
2015-05-15,831175,1.29,1.29,1.29,1.29,7800,780000.0,0.0,0.0,0.0,2.86
2015-06-04,831175,21.34,19.86,21.34,19.86,100,199350.0,114.73,1439.53,18.57,0.03
2015-06-05,831175,19.79,20.79,20.82,19.79,220,445730.0,5.19,4.68,0.93,0.08
2015-06-08,831175,21.29,21.29,21.89,21.29,500,1072310.0,2.89,2.41,0.5,0.17
2015-06-09,831175,21.79,22.29,22.29,21.79,250,541500.0,2.35,4.7,1.0,0.09
2015-06-10,831175,22.74,22.74,22.74,22.74,40,89800.0,0.0,2.02,0.45,0.01
2015-06-11,831175,22.74,22.79,22.79,22.74,80,179850.0,0.22,0.22,0.05,0.03
2015-06-12,831175,22.89,22.89,22.97,22.89,70,158350.0,0.35,0.44,0.1,0.02
2015-06-16,831175,22.89,22.89,22.89,22.89,100,226000.0,0.0,0.0,0.0,0.03
2015-06-17,831175,22.96,22.9,22.96,22.9,120,271780.0,0.26,0.04,0.01,0.04
2015-06-23,831175,23.11,23.29,23.29,23.11,30,68820.0,0.79,1.7,0.39,0.01
2015-06-24,831175,23.52,23.75,23.75,23.52,70,163590.0,0.99,1.98,0.46,0.02
2015-07-01,831175,23.39,23.39,23.39,23.39,190,438900.0,0.0,-1.52,-0.36,0.07
2015-07-07,831175,22.89,22.89,22.89,22.89,30,67800.0,0.0,-2.14,-0.5,0.01
2015-07-08,831175,21.95,21.59,21.95,21.59,50,107140.0,1.57,-5.68,-1.3,0.02
2015-07-09,831175,21.06,21.06,21.34,21.06,40,83640.0,1.3,-2.45,-0.53,0.01
2015-07-10,831175,21.64,21.64,21.64,21.64,10,21350.0,0.0,2.75,0.58,0.0
2015-07-24,831175,21.2,21.11,21.2,21.11,120,250730.0,0.42,-2.45,-0.53,0.04
2015-07-27,831175,20.79,20.59,20.79,20.59,50,102300.0,0.95,-2.46,-0.52,0.02
2015-08-12,831175,20.09,20.05,20.09,20.05,50,98920.0,0.19,-2.62,-0.54,0.02
2015-08-24,831175,19.59,19.29,19.59,19.29,60,114810.0,1.5,-3.79,-0.76,0.02
2015-08-31,831175,18.82,18.82,18.82,18.82,10,18530.0,0.0,-2.44,-0.47,0.0
2015-11-09,831175,18.36,18.34,18.36,18.34,20,36120.0,0.11,-2.55,-0.48,0.01
2015-11-10,831175,18.06,18.06,18.06,18.06,10,17770.0,0.0,-1.53,-0.28,0.0
2015-11-13,831175,18.47,18.59,18.59,18.47,60,109270.0,0.66,2.93,0.53,0.02
2015-11-16,831175,18.59,18.64,18.64,18.59,30,54980.0,0.27,0.27,0.05,0.01
2015-11-17,831175,18.62,19.29,19.29,18.62,170,316160.0,3.59,3.49,0.65,0.06
2015-11-19,831175,19.49,19.76,19.76,19.09,360,681840.0,3.47,2.44,0.47,0.12
2015-11-20,831175,19.49,19.49,19.49,19.49,10,19200.0,0.0,-1.37,-0.27,0.0
2015-11-24,831175,18.89,18.89,18.89,18.89,10,18600.0,0.0,-3.08,-0.6,0.0
2015-11-25,831175,19.29,20.07,20.07,18.72,330,630310.0,7.15,6.25,1.18,0.11
2015-11-26,831175,20.18,19.89,20.56,19.29,170,330530.0,6.33,-0.9,-0.18,0.06
2015-11-27,831175,20.33,19.79,20.33,19.29,70,134770.0,5.23,-0.5,-0.1,0.02
2015-11-30,831175,19.31,18.89,19.31,18.89,40,74850.0,2.12,-4.55,-0.9,0.01
2015-12-01,831175,19.29,19.29,19.29,19.29,10,19000.0,0.0,2.12,0.4,0.0
2015-12-02,831175,19.55,19.55,19.55,19.55,10,19260.0,0.0,1.35,0.26,0.0
2015-12-04,831175,19.79,19.79,19.79,19.79,10,19500.0,0.0,1.23,0.24,0.0
2015-12-07,831175,20.19,20.09,20.19,19.59,70,136200.0,3.03,1.52,0.3,0.02
2015-12-08,831175,19.6,19.6,19.6,19.6,10,19310.0,0.0,-2.44,-0.49,0.0
2015-12-14,831175,19.19,19.19,19.19,19.19,30,56700.0,0.0,-2.09,-0.41,0.01
2015-12-18,831175,19.59,19.59,19.59,19.59,10,19300.0,0.0,2.08,0.4,0.0
2015-12-21,831175,19.69,19.99,19.99,19.69,40,78200.0,1.53,2.04,0.4,0.01
2016-01-05,831175,20.09,21.19,21.79,20.09,260,539260.0,8.5,6.0,1.2,0.09
2016-01-06,831175,21.09,21.09,21.09,21.09,20,41600.0,0.0,-0.47,-0.1,0.01
2016-01-07,831175,21.0,21.29,21.29,21.0,40,83710.0,1.38,0.95,0.2,0.01
2016-01-08,831175,21.59,21.59,21.59,21.59,10,21300.0,0.0,1.41,0.3,0.0
2016-01-11,831175,21.59,21.59,21.59,21.59,10,21300.0,0.0,0.0,0.0,0.0
2016-01-14,831175,21.06,21.06,21.06,21.06,10,20770.0,0.0,-2.45,-0.53,0.0
2016-01-15,831175,21.52,21.52,21.52,21.52,10,21230.0,0.0,2.18,0.46,0.0
2016-01-20,831175,21.74,21.74,21.74,21.74,10,21450.0,0.0,1.02,0.22,0.0
2016-01-25,831175,21.75,21.75,21.75,21.75,10,21460.0,0.0,0.05,0.01,0.0
2016-01-26,831175,21.75,21.75,21.75,21.75,10,21460.0,0.0,0.0,0.0,0.0
2016-01-27,831175,21.75,21.75,21.75,21.75,10,21460.0,0.0,0.0,0.0,0.0
2016-01-28,831175,21.79,21.79,21.79,21.79,10,21500.0,0.0,0.18,0.04,0.0
2016-01-29,831175,21.79,21.26,21.79,21.26,20,42470.0,2.43,-2.43,-0.53,0.01
2016-02-01,831175,20.74,21.49,21.49,20.74,20,41650.0,3.53,1.08,0.23,0.01
2016-02-24,831175,20.97,20.96,20.97,20.96,30,62030.0,0.05,-2.47,-0.53,0.01
2016-03-08,831175,20.45,20.45,20.45,20.45,10,20160.0,0.0,-2.43,-0.51,0.0
2016-03-14,831175,20.29,19.77,20.29,19.77,40,78910.0,2.54,-3.33,-0.68,0.01
2016-03-15,831175,20.24,20.24,20.24,20.24,10,19950.0,0.0,2.38,0.47,0.0
2016-03-17,831175,19.75,20.09,20.09,19.29,30,58260.0,3.95,-0.74,-0.15,0.01
2016-03-18,831175,19.6,19.3,19.6,19.3,20,38320.0,1.49,-3.93,-0.79,0.01
2016-03-21,831175,19.29,18.82,19.59,18.82,70,132270.0,3.99,-2.49,-0.48,0.02
2016-03-23,831175,18.36,18.3,18.36,18.3,30,54090.0,0.32,-2.76,-0.52,0.01
2016-03-25,831175,17.85,17.58,17.85,17.58,40,69630.0,1.48,-3.93,-0.72,0.01
2016-03-30,831175,18.29,18.29,18.29,18.29,20,36000.0,0.0,4.04,0.71,0.01
2016-03-31,831175,17.84,17.84,17.84,17.84,10,17550.0,0.0,-2.46,-0.45,0.0
2016-04-01,831175,18.27,18.39,18.39,18.27,40,72280.0,0.67,3.08,0.55,0.01
2016-04-13,831175,17.94,18.29,18.29,17.92,40,71280.0,2.01,-0.54,-0.1,0.01
2016-04-14,831175,17.84,17.29,17.84,17.29,60,103810.0,3.01,-5.47,-1.0,0.02
2016-04-22,831175,17.29,17.29,17.29,17.29,10,17000.0,0.0,0.0,0.0,0.0
2016-04-25,831175,16.89,16.89,16.89,16.89,100,166000.0,0.0,-2.31,-0.4,0.03
2016-04-29,831175,16.79,16.79,16.79,16.79,10,16500.0,0.0,-0.59,-0.1,0.0
2016-05-24,831175,17.11,17.11,17.11,17.11,10,16820.0,0.0,1.91,0.32,0.0
2016-05-30,831175,17.29,17.29,17.29,17.29,20,34000.0,0.0,1.05,0.18,0.01
2016-06-03,831175,17.29,17.29,17.29,17.29,20,34000.0,0.0,0.0,0.0,0.01
2016-06-06,831175,17.09,17.09,17.09,17.09,10,16800.0,0.0,-1.16,-0.2,0.0
2016-06-07,831175,16.79,16.79,16.79,16.79,10,16500.0,0.0,-1.76,-0.3,0.0
2016-06-08,831175,16.79,16.79,16.79,16.79,10,16500.0,0.0,0.0,0.0,0.0
2016-06-14,831175,16.79,16.79,16.79,16.79,30,49500.0,0.0,0.0,0.0,0.01
2016-06-15,831175,16.79,16.79,16.79,16.79,50,82500.0,0.0,0.0,0.0,0.01
2016-06-17,831175,17.11,17.11,17.11,17.11,100,166600.0,0.0,1.91,0.32,0.03
2016-06-20,831175,17.11,17.11,17.11,17.11,10,16660.0,0.0,0.0,0.0,0.0
2016-06-27,831175,17.11,17.11,17.11,17.11,40,66640.0,0.0,0.0,0.0,0.01
2016-06-28,831175,17.75,17.44,17.75,17.44,20,34290.0,1.81,1.93,0.33,0.01
2016-06-29,831175,17.63,17.63,17.63,17.63,10,17180.0,0.0,1.09,0.19,0.0
2016-06-30,831175,17.94,17.66,17.94,17.08,100,169210.0,4.88,0.17,0.03,0.03
2016-07-01,831175,17.23,17.45,17.45,17.23,210,356780.0,1.25,-1.19,-0.21,0.06
2016-07-04,831175,17.7,17.7,17.7,17.7,10,17250.0,0.0,1.43,0.25,0.0
2016-07-05,831175,17.27,17.17,17.27,17.17,20,33540.0,0.56,-2.99,-0.53,0.01
2016-07-06,831175,17.5,17.5,17.5,17.5,10,17050.0,0.0,1.92,0.33,0.0
2016-07-07,831175,17.57,17.57,17.57,17.57,10,17120.0,0.0,0.4,0.07,0.0
2016-07-08,831175,17.15,17.15,17.15,17.15,10,16700.0,0.0,-2.39,-0.42,0.0
2016-07-12,831175,17.48,17.48,17.48,17.48,10,17030.0,0.0,1.92,0.33,0.0
2016-07-14,831175,17.13,17.33,17.33,17.13,20,33560.0,1.14,-0.86,-0.15,0.01
2016-07-15,831175,17.33,17.33,17.33,17.33,20,33760.0,0.0,0.0,0.0,0.01
2016-07-20,831175,17.13,17.16,17.34,17.11,1050,1756670.0,1.33,-0.98,-0.17,0.28
2016-07-21,831175,17.45,17.16,17.45,17.16,20,33710.0,1.69,0.0,0.0,0.01
2016-07-22,831175,17.4,17.23,17.4,17.16,810,1362050.0,1.4,0.41,0.07,0.21
2016-07-25,831175,17.24,17.23,17.24,17.16,1360,2280630.0,0.46,0.0,0.0,0.36
2016-07-26,831175,17.25,17.16,17.25,17.16,80,134040.0,0.52,-0.41,-0.07,0.02
2016-07-29,831175,17.13,17.05,17.2,17.05,250,417160.0,0.87,-0.64,-0.11,0.07
2016-08-01,831175,16.89,17.16,17.23,16.89,160,267100.0,1.99,0.65,0.11,0.04
2016-08-04,831175,17.19,16.77,17.19,16.77,40,66090.0,2.45,-2.27,-0.39,0.01
