日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-03-28,301314,82.92,87.0,93.5,81.0,68161,592026404.0,19.6,36.41,23.22,64.15
2023-03-29,301314,80.37,78.08,83.98,77.77,52190,421316623.0,7.14,-10.25,-8.92,49.12
2023-03-30,301314,78.91,85.3,86.59,78.02,55166,459096916.0,10.98,9.25,7.22,51.92
2023-03-31,301314,83.03,80.6,84.0,78.73,39976,323187578.0,6.18,-5.51,-4.7,37.62
2023-04-03,301314,77.79,78.06,79.3,76.05,37700,291098254.0,4.03,-3.15,-2.54,35.48
2023-04-04,301314,77.0,72.45,77.0,72.2,36785,272693955.0,6.15,-7.19,-5.61,34.62
2023-04-06,301314,71.8,72.0,73.84,69.98,22176,159381175.0,5.33,-0.62,-0.45,20.87
2023-04-07,301314,71.85,71.89,72.55,70.64,17976,129050849.0,2.65,-0.15,-0.11,16.92
2023-04-10,301314,71.14,69.79,72.14,69.79,19064,134712801.0,3.27,-2.92,-2.1,17.94
2023-04-11,301314,69.3,68.95,69.88,68.33,13904,95929208.0,2.22,-1.2,-0.84,13.09
2023-04-12,301314,68.5,70.21,70.46,68.5,15688,109377424.0,2.84,1.83,1.26,14.77
2023-04-13,301314,69.61,68.48,69.9,68.31,12133,83709928.0,2.26,-2.46,-1.73,11.42
2023-04-14,301314,68.51,68.77,69.2,67.55,11963,81811716.0,2.41,0.42,0.29,11.26
2023-04-17,301314,68.9,70.6,71.7,68.5,19906,140596194.0,4.65,2.66,1.83,18.74
2023-04-18,301314,70.3,68.48,70.44,68.25,13631,93728709.0,3.1,-3.0,-2.12,12.83
2023-04-19,301314,68.25,70.33,71.5,67.81,15525,108345131.0,5.39,2.7,1.85,14.61
2023-04-20,301314,72.44,74.87,76.66,72.41,37250,279356017.0,6.04,6.46,4.54,35.06
2023-04-21,301314,72.5,70.8,73.88,70.03,26512,189512946.0,5.14,-5.44,-4.07,24.95
2023-04-24,301314,70.01,74.42,76.8,68.05,26758,193567948.0,12.36,5.11,3.62,25.18
2023-04-25,301314,71.0,71.67,73.42,70.01,19618,140175202.0,4.58,-3.7,-2.75,18.46
2023-04-26,301314,70.17,69.95,71.19,68.6,14771,103239588.0,3.61,-2.4,-1.72,13.9
2023-04-27,301314,68.0,63.99,69.41,63.96,19384,129078932.0,7.79,-8.52,-5.96,18.24
2023-04-28,301314,63.69,64.81,65.95,63.65,10540,68475131.0,3.59,1.28,0.82,9.92
2023-05-04,301314,65.0,64.81,66.66,64.2,8247,53897904.0,3.8,0.0,0.0,7.76
2023-05-05,301314,64.51,61.93,65.5,61.72,11207,70169354.0,5.83,-4.44,-2.88,10.55
2023-05-08,301314,62.3,62.35,62.97,61.41,7405,46043396.0,2.52,0.68,0.42,6.97
2023-05-09,301314,62.2,62.5,64.0,61.01,10315,64372031.0,4.8,0.24,0.15,9.71
2023-05-10,301314,62.02,62.32,62.49,61.1,5890,36477825.0,2.22,-0.29,-0.18,5.54
2023-05-11,301314,62.8,63.32,64.8,62.8,11358,72603637.0,3.21,1.6,1.0,10.69
2023-05-12,301314,63.21,62.02,63.24,61.0,7279,45267886.0,3.54,-2.05,-1.3,6.85
2023-05-15,301314,62.02,63.14,63.18,61.68,6092,38130663.0,2.42,1.81,1.12,5.73
2023-05-16,301314,63.28,63.7,64.6,62.22,9308,59121019.0,3.77,0.89,0.56,8.76
2023-05-17,301314,63.35,65.33,65.49,63.06,10515,67781668.0,3.81,2.56,1.63,9.9
2023-05-18,301314,65.2,65.0,66.48,64.66,11667,76565644.0,2.79,-0.51,-0.33,10.98
2023-05-19,301314,65.33,66.75,68.6,64.73,13154,88206320.0,5.95,2.69,1.75,12.38
2023-05-22,301314,66.25,69.17,69.46,66.21,14051,95496113.0,4.87,3.63,2.42,13.22
2023-05-23,301314,68.63,69.9,70.7,67.22,13464,92881760.0,5.03,1.06,0.73,12.67
2023-05-24,301314,69.08,70.05,71.12,68.33,12366,86070858.0,3.99,0.21,0.15,11.64
2023-05-25,301314,72.8,74.2,83.0,71.0,30844,234633961.0,17.13,5.92,4.15,29.03
2023-05-26,301314,70.99,70.01,73.55,68.43,24306,128543185.0,6.9,-5.65,-4.19,17.6
2023-05-29,301314,68.99,73.94,77.71,68.99,28942,160382043.0,12.46,5.61,3.93,20.95
2023-05-30,301314,73.42,72.31,76.12,71.99,21486,119666193.0,5.59,-2.2,-1.63,15.56
2023-05-31,301314,71.05,71.08,72.24,70.14,13368,71876514.0,2.9,-1.7,-1.23,9.68
2023-06-01,301314,70.44,71.79,73.56,70.31,13852,75151043.0,4.57,1.0,0.71,10.03
2023-06-02,301314,71.74,70.13,72.5,69.75,12351,65738815.0,3.83,-2.31,-1.66,8.94
2023-06-05,301314,69.92,69.49,71.44,69.18,7468,39494942.0,3.22,-0.91,-0.64,5.41
2023-06-06,301314,69.65,68.6,70.59,68.04,10016,52366132.0,3.67,-1.28,-0.89,7.25
2023-06-07,301314,68.0,73.68,74.77,67.99,25107,136640514.0,9.88,7.41,5.08,18.18
2023-06-08,301314,72.77,69.65,72.77,69.55,18371,97857513.0,4.37,-5.47,-4.03,13.3
2023-06-09,301314,69.31,69.26,69.96,67.37,14049,72653628.0,3.72,-0.56,-0.39,10.17
2023-06-12,301314,68.93,69.58,70.09,68.56,8765,45849572.0,2.21,0.46,0.32,6.35
2023-06-13,301314,68.95,69.95,70.05,68.38,8127,42503437.0,2.4,0.53,0.37,5.88
2023-06-14,301314,69.81,69.34,69.97,68.1,9108,47416747.0,2.67,-0.87,-0.61,6.59
2023-06-15,301314,69.23,71.05,73.29,69.23,22935,124016084.0,5.86,2.47,1.71,16.6
2023-06-16,301314,70.31,72.09,72.61,69.25,16056,86117810.0,4.73,1.46,1.04,11.62
2023-06-19,301314,71.79,73.03,73.39,71.66,15383,84404903.0,2.4,1.3,0.94,11.14
2023-06-20,301314,72.82,76.5,78.36,70.99,35739,204139983.0,10.09,4.75,3.47,25.87
2023-06-21,301314,75.16,76.58,79.27,73.04,38041,219084637.0,8.14,0.1,0.08,27.54
2023-06-26,301314,75.5,72.6,76.53,71.76,21807,121050605.0,6.23,-5.2,-3.98,15.79
2023-06-27,301314,72.51,69.86,73.03,69.49,19396,103354170.0,4.88,-3.77,-2.74,14.04
2023-06-28,301314,69.73,67.63,69.92,65.29,16766,84939939.0,6.63,-3.19,-2.23,12.14
2023-06-29,301314,66.89,72.38,72.9,66.74,23284,124464187.0,9.11,7.02,4.75,16.86
2023-06-30,301314,71.66,74.41,75.3,71.66,19417,107783325.0,5.03,2.8,2.03,14.06
2023-07-03,301314,76.15,72.47,76.15,72.15,12984,71802897.0,5.38,-2.61,-1.94,9.4
2023-07-04,301314,72.24,71.9,72.96,71.39,9774,53125333.0,2.17,-0.79,-0.57,7.08
2023-07-05,301314,72.12,70.17,72.63,69.91,10770,57528337.0,3.78,-2.41,-1.73,7.8
2023-07-06,301314,69.91,71.83,72.89,69.4,13178,71155992.0,4.97,2.37,1.66,9.54
2023-07-07,301314,71.65,69.71,71.87,68.54,10618,55892782.0,4.64,-2.95,-2.12,7.69
2023-07-10,301314,68.97,67.79,69.73,67.76,8967,46135957.0,2.83,-2.75,-1.92,6.49
2023-07-11,301314,67.8,68.53,68.8,67.31,5419,27929104.0,2.2,1.09,0.74,3.92
2023-07-12,301314,68.09,69.34,70.91,68.09,11927,62853550.0,4.11,1.18,0.81,8.63
2023-07-13,301314,70.05,75.37,75.72,68.75,23114,126713163.0,10.05,8.7,6.03,16.73
2023-07-14,301314,74.95,75.73,77.4,74.23,20042,114499075.0,4.21,0.48,0.36,14.51
2023-07-17,301314,75.62,77.41,78.03,74.07,18328,105286423.0,5.23,2.22,1.68,13.27
2023-07-18,301314,77.63,76.25,79.39,75.5,22446,130962911.0,5.03,-1.5,-1.16,16.25
2023-07-19,301314,74.59,78.23,79.83,74.52,25644,150016908.0,6.96,2.6,1.98,18.57
2023-07-20,301314,76.83,75.47,78.02,74.46,18404,105380543.0,4.55,-3.53,-2.76,13.32
2023-07-21,301314,74.97,75.08,79.01,73.85,20413,118231897.0,6.84,-0.52,-0.39,14.78
2023-07-24,301314,74.2,73.3,75.04,71.53,13603,75415105.0,4.68,-2.37,-1.78,9.85
2023-07-25,301314,73.82,73.37,74.46,72.47,12170,67403623.0,2.71,0.1,0.07,8.81
2023-07-26,301314,73.13,70.25,73.37,69.71,13525,72146730.0,4.99,-4.25,-3.12,9.79
2023-07-27,301314,70.59,69.62,70.7,69.0,8112,42551404.0,2.42,-0.9,-0.63,5.87
2023-07-28,301314,69.44,69.17,69.73,68.22,7237,37599604.0,2.17,-0.65,-0.45,5.24
