日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-09-10,873169,4.81,4.81,4.81,4.81,85,34085.0,0.0,-19.83,-1.19,0.06
2020-09-18,873169,5.82,5.82,5.82,5.82,1,502.0,0.0,21.0,1.01,0.0
2020-09-25,873169,4.8,4.8,4.8,4.8,65,25936.0,0.0,-17.53,-1.02,0.05
2020-10-12,873169,4.8,4.8,4.8,4.8,50,20000.0,0.0,0.0,0.0,0.04
2020-10-19,873169,4.8,4.8,4.8,4.8,60,24000.0,0.0,0.0,0.0,0.04
2020-10-26,873169,4.8,4.8,4.8,4.8,100,40000.0,0.0,0.0,0.0,0.07
2020-10-27,873169,4.8,4.8,4.8,4.8,200,80000.0,0.0,0.0,0.0,0.15
2020-10-29,873169,4.8,4.8,4.8,4.8,80,32000.0,0.0,0.0,0.0,0.06
2020-11-03,873169,4.8,4.8,4.8,4.8,50,20000.0,0.0,0.0,0.0,0.04
2020-11-04,873169,4.8,4.8,4.8,4.8,50,20000.0,0.0,0.0,0.0,0.04
2020-11-17,873169,4.8,4.8,4.8,4.8,87,34664.0,0.0,0.0,0.0,0.06
2020-11-23,873169,4.8,4.8,4.8,4.8,8,3200.0,0.0,0.0,0.0,0.01
2020-11-25,873169,4.8,4.8,4.8,4.8,2,800.0,0.0,0.0,0.0,0.0
2020-11-26,873169,4.8,4.8,4.8,4.8,11,4400.0,0.0,0.0,0.0,0.01
2021-01-13,873169,4.8,4.8,4.8,4.8,100,40000.0,0.0,0.0,0.0,0.07
2021-01-14,873169,4.8,4.8,4.8,4.8,1000,400000.0,0.0,0.0,0.0,0.75
2021-01-20,873169,4.8,4.8,4.8,4.8,18,7200.0,0.0,0.0,0.0,0.01
2021-01-21,873169,4.8,4.8,4.8,4.8,3,1200.0,0.0,0.0,0.0,0.0
2021-01-26,873169,4.8,4.8,4.8,4.8,2,800.0,0.0,0.0,0.0,0.0
2021-01-28,873169,4.8,4.8,4.8,4.8,2,800.0,0.0,0.0,0.0,0.0
2021-02-02,873169,4.8,4.8,4.8,4.8,2,800.0,0.0,0.0,0.0,0.0
2021-02-09,873169,4.8,4.8,4.8,4.8,2,800.0,0.0,0.0,0.0,0.0
2021-02-10,873169,4.8,4.8,4.8,4.8,3,1200.0,0.0,0.0,0.0,0.0
2021-04-02,873169,4.81,4.81,4.81,4.81,1,401.0,0.0,0.21,0.01,0.0
2021-04-16,873169,4.8,4.8,4.8,4.8,8,3200.0,0.0,-0.21,-0.01,0.0
2021-04-27,873169,4.81,4.81,4.81,4.81,1,401.0,0.0,0.21,0.01,0.0
2021-04-30,873169,5.31,5.31,5.31,5.31,10,4510.0,0.0,10.4,0.5,0.01
2021-05-28,873169,5.8,5.8,5.8,5.8,12,6000.0,0.0,9.23,0.49,0.01
2021-05-31,873169,6.8,6.8,6.8,6.8,100,60000.0,0.0,17.24,1.0,0.05
2021-06-01,873169,6.8,6.8,6.8,6.8,100,60000.0,0.0,0.0,0.0,0.05
2021-06-03,873169,6.8,6.8,6.8,6.8,300,180000.0,0.0,0.0,0.0,0.16
2021-06-04,873169,7.8,7.8,7.8,7.8,1,700.0,0.0,14.71,1.0,0.0
2021-09-07,873169,5.45,5.45,5.45,5.45,1,465.0,0.0,-30.13,-2.35,0.0
2021-09-10,873169,6.08,6.08,6.08,6.08,2,1056.0,0.0,11.56,0.63,0.0
2021-09-13,873169,6.31,6.31,6.31,6.31,18,9918.0,0.0,3.78,0.23,0.04
2021-09-22,873169,11.8,11.8,11.8,11.8,22,24200.0,0.0,87.0,5.49,0.04
2021-09-23,873169,10.8,11.4,11.4,10.8,14,14600.0,5.08,-3.39,-0.4,0.03
2021-09-24,873169,11.46,11.55,11.55,11.46,70,74950.0,0.79,1.32,0.15,0.14
2022-04-15,873169,7.61,8.12,9.66,7.41,118142,89187165.0,33.09,19.41,1.32,49.09
2022-04-18,873169,7.6,7.16,7.6,7.09,69164,44989380.0,6.28,-11.82,-0.96,28.74
2022-04-19,873169,7.2,7.09,7.2,6.95,28918,18056879.0,3.49,-0.98,-0.07,12.02
2022-04-20,873169,7.1,6.93,7.14,6.89,23386,14444087.0,3.53,-2.26,-0.16,9.72
2022-04-21,873169,6.91,6.98,7.21,6.86,24407,15182354.0,5.05,0.72,0.05,10.14
2022-04-22,873169,6.98,7.06,7.16,6.87,15962,9949608.0,4.15,1.15,0.08,6.63
2022-04-25,873169,7.0,6.8,7.02,6.76,23356,14115727.0,3.68,-3.68,-0.26,9.71
2022-04-26,873169,6.8,6.8,6.8,6.62,13925,8252396.0,2.65,0.0,0.0,5.79
2022-04-27,873169,6.65,6.92,7.2,6.65,11206,6790403.0,8.09,1.76,0.12,4.66
2022-04-28,873169,6.99,6.82,6.99,6.8,6754,4096088.0,2.75,-1.45,-0.1,2.81
2022-04-29,873169,6.94,7.01,7.11,6.86,10869,6716115.0,3.67,2.79,0.19,4.52
2022-05-05,873169,7.06,7.32,7.38,6.96,17667,11275914.0,5.99,4.42,0.31,7.34
2022-05-06,873169,7.21,7.15,7.26,7.0,9087,5765132.0,3.55,-2.32,-0.17,3.78
2022-05-09,873169,7.04,7.14,7.14,7.03,6530,4098003.0,1.54,-0.14,-0.01,2.71
2022-05-10,873169,7.11,7.28,7.48,7.02,8499,5443742.0,6.44,1.96,0.14,3.53
2022-05-11,873169,7.22,7.3,7.47,7.19,13106,8581299.0,3.85,0.27,0.02,5.45
2022-05-12,873169,7.3,7.69,7.79,7.3,20061,13679770.0,6.71,5.34,0.39,8.34
2022-05-13,873169,7.67,8.02,9.0,7.51,52727,38678366.0,19.38,4.29,0.33,21.91
2022-05-16,873169,7.75,7.78,8.1,7.69,26528,18606815.0,5.11,-2.99,-0.24,11.37
2022-05-17,873169,7.82,7.62,7.84,7.51,13899,9486718.0,4.24,-2.06,-0.16,5.96
2022-05-18,873169,7.68,7.55,7.7,7.54,8885,6037751.0,2.1,-0.92,-0.07,3.81
2022-05-19,873169,7.46,7.41,7.46,7.35,9270,6116580.0,1.46,-1.85,-0.14,3.97
2022-05-20,873169,7.41,7.51,7.53,7.41,5369,3581629.0,1.62,1.35,0.1,2.3
2022-05-23,873169,7.46,7.44,7.5,7.39,5481,3634823.0,1.46,-0.93,-0.07,2.35
2022-05-24,873169,7.45,7.03,7.45,7.02,9312,5984860.0,5.78,-5.51,-0.41,3.99
2022-05-25,873169,7.03,7.06,7.09,6.99,3243,2024276.0,1.42,0.43,0.03,1.39
2022-05-26,873169,7.07,7.11,7.19,7.0,4414,2784788.0,2.69,0.71,0.05,1.89
2022-05-27,873169,7.11,7.03,7.27,6.99,4971,3104947.0,3.94,-1.13,-0.08,2.13
2022-05-30,873169,6.99,7.09,7.12,6.99,3861,2423087.0,1.85,0.85,0.06,1.65
2022-05-31,873169,7.11,7.1,7.12,7.05,4077,2561260.0,0.99,0.14,0.01,1.75
2022-06-01,873169,7.08,7.25,7.35,7.08,6466,4160221.0,3.8,2.11,0.15,2.77
2022-06-02,873169,7.25,7.39,7.42,7.2,6236,4085162.0,3.03,1.93,0.14,2.67
2022-06-06,873169,7.36,7.53,7.67,7.32,9832,6598438.0,4.74,1.89,0.14,4.21
2022-06-07,873169,7.61,7.45,7.62,7.33,6317,4184745.0,3.85,-1.06,-0.08,2.71
2022-06-08,873169,7.36,7.4,7.54,7.33,4740,3128091.0,2.82,-0.67,-0.05,2.03
2022-06-09,873169,7.45,7.36,7.45,7.1,4337,2847680.0,4.73,-0.54,-0.04,1.86
2022-06-10,873169,7.3,7.23,7.35,7.2,6143,3958921.0,2.04,-1.77,-0.13,2.63
2022-06-13,873169,7.23,7.09,7.23,7.05,7016,4416374.0,2.49,-1.94,-0.14,3.01
2022-06-14,873169,7.02,7.05,7.06,6.93,6141,3801869.0,1.83,-0.56,-0.04,2.63
2022-06-15,873169,7.07,7.09,7.19,7.01,4700,2955536.0,2.55,0.57,0.04,2.01
2022-06-16,873169,7.04,7.08,7.11,7.02,2118,1327859.0,1.27,-0.14,-0.01,0.91
2022-06-17,873169,7.01,7.03,7.09,6.97,3888,2416771.0,1.69,-0.71,-0.05,1.67
2022-06-20,873169,7.07,7.07,7.14,7.04,5711,3588925.0,1.42,0.57,0.04,2.45
2022-06-21,873169,7.07,7.06,7.08,7.03,2694,1683323.0,0.71,-0.14,-0.01,1.15
2022-06-22,873169,7.03,7.04,7.07,6.99,2893,1801797.0,1.13,-0.28,-0.02,1.24
2022-06-23,873169,7.03,7.14,7.15,7.0,5823,3648115.0,2.13,1.42,0.1,2.49
2022-06-24,873169,7.08,7.14,7.15,7.06,3077,1936549.0,1.26,0.0,0.0,1.32
2022-06-27,873169,7.15,7.25,7.26,7.09,9999,6365962.0,2.38,1.54,0.11,4.28
2022-06-28,873169,7.21,7.54,7.63,7.21,18961,12694937.0,5.79,4.0,0.29,8.12
2022-06-29,873169,7.53,7.36,7.68,7.33,13399,8960092.0,4.64,-2.39,-0.18,5.74
2022-06-30,873169,7.39,7.39,7.39,7.19,9147,5931564.0,2.72,0.41,0.03,3.92
