日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-25,300578,11.64,13.97,13.97,11.64,57,78228.0,24.02,44.02,4.27,0.03
2017-01-26,300578,15.37,15.37,15.37,15.37,38,58467.0,0.0,10.02,1.4,0.02
2017-02-03,300578,16.91,16.91,16.91,16.91,15,25365.0,0.0,10.02,1.54,0.01
2017-02-06,300578,18.6,18.6,18.6,18.6,53,98580.0,0.0,9.99,1.69,0.03
2017-02-07,300578,20.46,20.46,20.46,20.46,44,90024.0,0.0,10.0,1.86,0.02
2017-02-08,300578,22.51,22.51,22.51,22.51,90,202590.0,0.0,10.02,2.05,0.05
2017-02-09,300578,24.76,24.76,24.76,24.76,34,84184.0,0.0,10.0,2.25,0.02
2017-02-10,300578,27.24,27.24,27.24,27.24,75,204300.0,0.0,10.02,2.48,0.04
2017-02-13,300578,29.96,29.96,29.96,29.96,211,632156.0,0.0,9.99,2.72,0.12
2017-02-14,300578,32.96,32.96,32.96,32.96,382,1259072.0,0.0,10.01,3.0,0.21
2017-02-15,300578,36.26,36.26,36.26,36.26,173,627298.0,0.0,10.01,3.3,0.1
2017-02-16,300578,39.89,39.89,39.89,39.89,133,530537.0,0.0,10.01,3.63,0.07
2017-02-17,300578,43.88,43.88,43.88,43.88,382,1675952.0,0.0,10.0,3.99,0.21
2017-02-20,300578,48.27,48.27,48.27,48.27,17760,85729402.0,0.0,10.0,4.39,9.87
2017-02-21,300578,49.99,53.1,53.1,49.1,123387,631104128.0,8.29,10.01,4.83,68.55
2017-02-22,300578,50.68,51.3,51.96,49.51,94984,481748768.0,4.61,-3.39,-1.8,52.77
2017-02-23,300578,51.3,52.61,53.37,50.56,76753,398963808.0,5.48,2.55,1.31,42.64
2017-02-24,300578,52.06,52.18,54.5,51.06,64659,340025056.0,6.54,-0.82,-0.43,35.92
2017-02-27,300578,51.5,53.02,53.03,51.01,52487,273498976.0,3.87,1.61,0.84,29.16
2017-02-28,300578,52.77,52.6,52.87,51.42,38884,202884445.0,2.73,-0.79,-0.42,21.6
2017-03-01,300578,51.87,51.95,55.8,51.85,59452,317726720.0,7.51,-1.24,-0.65,33.03
2017-03-02,300578,51.26,51.71,52.98,50.5,41585,215113129.0,4.77,-0.46,-0.24,23.1
2017-03-03,300578,51.71,51.85,52.29,51.15,27866,143975170.0,2.2,0.27,0.14,15.48
2017-03-06,300578,52.47,53.7,54.59,52.01,46821,249642861.0,4.98,3.57,1.85,26.01
2017-03-07,300578,53.8,56.29,57.32,53.51,61773,341743712.0,7.09,4.82,2.59,34.32
2017-03-08,300578,55.58,55.1,56.26,54.35,46638,257803859.0,3.39,-2.11,-1.19,25.91
2017-03-09,300578,55.58,54.1,56.29,53.8,35924,196685061.0,4.52,-1.81,-1.0,19.96
2017-03-10,300578,53.53,53.96,54.51,53.5,23932,129299729.0,1.87,-0.26,-0.14,13.3
2017-03-13,300578,54.0,56.82,58.5,53.63,56217,315577760.0,9.03,5.3,2.86,31.23
2017-03-14,300578,56.5,57.06,59.0,56.1,55642,318969056.0,5.1,0.42,0.24,30.91
2017-03-15,300578,56.0,59.25,60.69,55.78,59893,349741408.0,8.6,3.84,2.19,33.27
2017-03-16,300578,58.7,62.36,63.5,58.01,59082,358433728.0,9.27,5.25,3.11,32.82
2017-03-17,300578,61.8,57.8,63.96,57.33,76632,460587296.0,10.63,-7.31,-4.56,42.57
