证券代码,证券简称,营业总收入,行业代码1,现金资产比率,应收类资产比率,固定资产比率,无形资产比率,金融负债比率,少数股东权益占比,市盈率（PE）1,资产负债率,市值A,托宾Q值A,账面市值比A,资产报酬率A,净资产收益率（ROE）A
1,平安银行,1.2946626956245908,J66,-0.7775533714701448,-1.270995588718246,-1.2976557356854617,-0.6924151319411184,-1.4777246139709934,-0.18520843434553527,-0.3301430282201608,2.3230681509099944,4.379344904591597,-0.7330830949762621,1.4217897688491343,-0.37535059721993674,0.13256546009984446
2,万科A,3.324777649338099,K70,-0.7061523804539985,-1.208915414277693,-1.2059238395553977,-0.6086361099790882,-0.18866692990522785,1.2083498303459985,-0.3263494579588539,1.446345127720443,0.8585277795549883,-0.8294437860279755,1.9587576997677065,-0.7372223994100372,-0.10347090874170656
4,国华网安,-0.15186444568903437,I65,0.1332306579364755,2.5735127313362924,-1.2770357693181664,-0.13670777885636148,-1.0851687605495879,-0.2576931058372588,-0.37084354261026364,0.8404080376213153,-0.06867128823945556,3.6171789792056472,-2.012428194460719,-2.8659827277276855,-0.47175421582783433
6,深振业A,-0.0767113292433411,K70,-0.1654533743595854,-1.251412099905233,-1.2878780980387468,-0.7100052775049953,0.40099634693666797,0.012097929075019779,-0.37084354261026364,1.2154744707898706,-0.05300866023127923,-0.6641294513231278,1.1081818893931026,-1.0080121420635417,-0.19626088001267356
7,全新好,-0.1506255626135589,K70,1.6711500206166405,-0.8420897222039524,-0.38422491836977085,-0.7073610072568325,0.5942829382571863,0.1005005841086007,0.06457625754883825,0.7809907982362244,-0.06866667112707636,4.447951086311033,-2.103008304589681,-0.35634554008455094,0.0015724148286425852
8,神州高铁,-0.13583114454808712,C37,-0.8341381511777005,0.6176182224277722,-1.0038212149515005,-0.43390076109571946,0.7915210222572601,-0.09734518282061816,-0.37084354261026364,1.1883180905611903,-0.05961360124549985,-0.44020795038835303,0.3553439372656314,-0.7014963396249241,-0.13059130879929937
9,中国宝安,0.07842704910500069,J69,-0.046873116616763896,-0.4190022629706489,0.18140906099976747,-0.14537967134723637,1.172562907029219,1.7809731550943178,-0.26579694039368007,0.8304430269102828,-0.02534600388607706,-0.6414127143749616,1.0151389822600734,0.046768528950366116,0.0599172085369222
10,美丽生态,-0.14746904291644103,E48,-1.1760066355472645,3.163995253140431,-1.289805323653468,-0.6999209176765915,-1.3425265488045472,-0.4714456962357413,-0.37084354261026364,2.409853498234023,-0.06720145597940502,-0.3951062725275869,0.23862690528080463,-0.9095823223419539,-0.8528336614627534
11,深物业A,-0.13222244111232445,K70,-0.5786301430761301,-0.9658467301673489,-1.2847446717770508,-0.7093318919138478,0.3745118433960375,-0.15895622358253333,-0.2773768380343224,1.4277176919940928,-0.05672488942220795,-0.6450537850060969,1.0297437594143524,-0.5257749780160003,-0.023025069351904806
12,南玻A,0.034146588974701596,C30,-0.3800608856007499,-0.39823449656946847,1.5494697054077213,0.5219290254411075,0.6670490028512511,-0.06440064852599613,-0.28760146312468093,0.6181767918245108,-0.04516949135418058,-0.7113061572701971,1.317261627433645,0.0786806486981057,0.07987736908140146
