ID,证券简称,Labels
000812,陕西金叶,4
000813,德展健康,3
000815,美利云,4
000816,智慧农业,2
000818,航锦科技,4
000819,岳阳兴长,2
000820,神雾节能,7
000821,京山轻机,0
000822,山东海化,2
000823,超声电子,4
000825,太钢不锈,4
000826,启迪环境,6
000828,东莞控股,0
000829,天音控股,0
000830,鲁西化工,4
000831,中国稀土,1
000833,粤桂股份,6
000837,秦川机床,4
000838,财信发展,0
000839,中信国安,7
000848,承德露露,3
000850,华茂股份,4
000851,ST 高鸿,0
000852,石化机械,7
000856,冀东装备,7
000858,五粮液,3
000859,国风新材,4
000860,顺鑫农业,3
000862,银星能源,4
000863,三湘印象,0
000868,安凯客车,7
000869,张裕A,2
000875,吉电股份,4
000876,新希望,4
000877,天山股份,4
000878,云南铜业,4
000880,潍柴重机,0
000881,中广核技,7
000882,华联股份,0
000883,湖北能源,4
000885,城发环境,6
000886,海南高速,2
000887,中鼎股份,4
000888,峨眉山A,3
000889,ST 中嘉,7
000890,法尔胜,7
000892,欢瑞世纪,3
000893,亚钾国际,6
000895,双汇发展,2
000897,津滨发展,3
000898,鞍钢股份,4
000899,赣能股份,4
000900,现代投资,6
000901,航天科技,7
000902,新洋丰,4
000903,云内动力,4
000905,厦门港务,4
000906,浙商中拓,0
000909,ST 数源,4
000910,大亚圣象,0
000911,广农糖业,4
000912,泸天化,4
000913,钱江摩托,3
000915,华特达因,3
000917,电广传媒,0
000919,金陵药业,2
000920,沃顿科技,3
000921,海信家电,0
000922,佳电股份,7
000923,河钢资源,0
000925,众合科技,0
000926,福星股份,0
000927,中国铁物,7
000928,中钢国际,0
000929,兰州黄河,2
000930,中粮科技,4
000931,中关村,7
000932,华菱钢铁,0
000933,神火股份,4
000935,四川双马,2
000936,华西股份,4
000937,冀中能源,4
000938,紫光股份,0
000948,南天信息,7
000949,新乡化纤,4
000950,重药控股,7
000951,中国重汽,7
000952,广济药业,4
000953,河化股份,1
000955,欣龙控股,2
000957,中通客车,7
000958,电投产融,4
000959,首钢股份,4
000960,锡业股份,4
000962,东方钽业,2
000963,华东医药,2
000965,天保基建,0
000966,长源电力,4
000968,蓝焰控股,4
000969,安泰科技,2
000972,中基健康,0
000973,佛塑科技,4
000975,山金国际,6
000977,浪潮信息,7
000978,桂林旅游,5
000980,众泰汽车,6
000981,山子高科,4
000985,大庆华科,3
000987,越秀资本,0
000988,华工科技,7
000989,ST 九芝,2
000990,诚志股份,0
000993,闽东电力,4
000997,新大陆,2
000998,隆平高科,0
000999,华润三九,2
001201,东瑞股份,4
001202,炬申股份,4
001203,大中矿业,6
001205,盛航股份,4
001206,依依股份,2
001207,联科科技,2
001208,华菱线缆,7
001209,洪兴股份,2
001210,金房能源,2
001211,双枪科技,4
001212,中旗新材,4
001213,中铁特货,2
001215,千味央厨,2
001216,华瓷股份,2
001217,华尔泰,2
001218,丽臣实业,2
001219,青岛食品,2
001222,源飞宠物,3
001223,欧克科技,3
001225,和泰机电,3
001226,拓山重工,7
001227,兰州银行,0
001228,永泰运,7
001229,魅视科技,3
001230,劲旅环境,7
001231,农心科技,2
001234,泰慕士,2
001236,弘业期货,5
001238,浙江正特,2
001239,永达股份,7
001255,博菲电气,7
001256,炜冈科技,2
001258,立新能源,4
001259,利仁科技,3
001260,坤泰股份,2
001266,宏英智能,3
001267,汇绿生态,7
001268,联合精密,7
001269,欧晶科技,4
001270,铖昌科技,7
001277,速达股份,3
001278,一彬科技,0
001282,三联锻造,2
001283,豪鹏科技,4
001286,陕西能源,4
001287,中电港,7
001288,运机集团,7
001289,龙源电力,4
001296,长江材料,2
001298,好上好,7
001299,美能能源,2
001300,三柏硕,2
001301,尚太科技,2
001306,夏厦精密,2
001308,康冠科技,0
001309,德明利,2
001311,多利科技,2
001313,粤海饲料,7
001314,亿道信息,2
001316,润贝航科,3
001317,三羊马,7
001318,阳光乳业,3
001319,铭科精技,2
001322,箭牌家居,4
001323,慕思股份,2
001324,长青科技,2
001326,联域股份,3
001328,登康口腔,2
001330,博纳影业,0
001331,胜通能源,3
001332,锡装股份,3
001333,光华股份,7
001336,楚环科技,7
001337,四川黄金,1
001338,永顺泰,2
001339,智微智能,2
001358,兴欣新材,3
001359,平安电工,2
001360,南矿集团,7
001366,播恩集团,2
001367,海森药业,3
001368,通达创智,2
001376,百通能源,4
001378,德冠新材,2
001379,腾达科技,3
001380,华纬科技,7
001387,雪祺电气,2
001389,广合科技,2
001696,宗申动力,7
001872,招商港口,4
001896,豫能控股,4
001914,招商积余,7
001965,招商公路,6
001979,招商蛇口,0
002001,新和成,4
002003,伟星股份,2
002004,华邦健康,4
002005,ST 德豪,7
002006,精工科技,7
002007,华兰生物,2
002008,大族激光,7
002009,天奇股份,4
002010,传化智联,0
002011,盾安环境,2
002012,凯恩股份,3
002014,永新股份,2
002015,协鑫能科,4
002016,世荣兆业,2
002017,东信和平,3
002019,亿帆医药,2
002020,京新药业,2
002021,中捷资源,2
002022,科华生物,0
002023,海特高新,4
002024,ST 易购,0
002025,航天电器,7
002026,山东威达,2
002027,分众传媒,1
002028,思源电气,7
002029,七匹狼,0
002030,达安基因,2
002031,巨轮智能,4
002032,苏泊尔,1
002033,丽江股份,2
002034,旺能环境,6
002035,华帝股份,2
002036,联创电子,4
002037,保利联合,7
002038,双鹭药业,2
002039,黔源电力,4
002040,南京港,4
002041,登海种业,2
002042,华孚时尚,4
002043,兔宝宝,3
002044,美年健康,7
002045,国光电器,7
002046,国机精工,7
002048,宁波华翔,0
002049,紫光国微,1
002050,三花智控,7
